Employee_ID,Name,Department,Salary,Experience_Years
2001,Employee_1,Finance,42000,7
2002,Employee_2,HR,45000,1
2003,Employee_3,Sales,47000,10
2004,Employee_4,IT,48000,2
2005,Employee_5,IT,50000,4
2006,Employee_6,Marketing,52000,11
2007,Employee_7,IT,54000,11
2008,Employee_8,Finance,56000,10
2009,Employee_9,Marketing,58000,1
2010,Employee_10,IT,60000,10
2011,Employee_11,Marketing,62000,10
2012,Employee_12,HR,64000,7
2013,Employee_13,IT,66000,1
2014,Employee_14,IT,68000,4
2015,Employee_15,Sales,70000,1
2016,Employee_16,Sales,210000,9
2017,Employee_17,IT,230000,3
2018,Employee_18,HR,25000,5
2019,Employee_19,IT,260000,7
2020,Employee_20,Marketing,30000,3
